Date_Time_UTC,0.00001,0.0001,0.001,0.01,0.1,1,10,100,1000,10000,100000,1000000,0.00001_BTC_total,0.0001_BTC_total,0.001_BTC_total,0.01_BTC_total,0.1_BTC_total,1_BTC_total,10_BTC_total,100_BTC_total,1000_BTC_total,10000_BTC_total,100000_BTC_total,1000000_BTC_total,USD_0.00001_BTC,USD_0.0001_BTC,USD_0.001_BTC,USD_0.01_BTC,USD_0.1_BTC,USD_1_BTC,USD_10_BTC,USD_100_BTC,USD_1000_BTC,USD_10000_BTC,USD_100000_BTC,USD_1000000_BTC
2025-09-04 00:02:04 UTC+0000,6948809,12054868,13523568,11605855,7953991,3469571,830842,133186,17092,1986,82,4,40.62,508.82,5078,42923,268793,1068964,2061702,4309231,4938835,4368363,2189077,659581,4538451,56844651,567296899,4795330720,30029251872,119423514191,230331201537,481422729543,551761507307,488028940289,244561334814,73687685665
2025-09-04 12:02:03 UTC+0000,6948802,12056780,13517280,11578147,7952146,3469083,830920,133150,17102,1987,83,4,40.63,508.90,5075,42826,268768,1068861,2061939,4307611,4938981,4369644,2189489,659581,4507424,56460165,563040647,4751367879,29818595152,118585428568,228763008317,477910313418,547958052144,484792619702,242914080461,73177577547
2025-09-05 00:02:03 UTC+0000,6950258,12060910,13528195,11562886,7952857,3468937,830759,133091,17112,1987,83,4,40.64,509.14,5077,42801,268761,1068774,2061470,4306478,4941083,4369124,2189872,659581,4507874,56478458,563195049,4747910943,29813652768,118558966905,228678600951,477717164192,548113864589,484666470950,242922322863,73167241309
2025-09-05 12:02:02 UTC+0000,6950962,12065527,13509502,11562363,7953430,3469155,830713,133042,17116,1985,83,4,40.64,509.39,5068,42807,268767,1068872,2061225,4306341,4944666,4365705,2190184,659581,4564986,57214619,569257611,4808037212,30187681616,120054546015,231514672779,483683767379,555379746923,490351438839,245999202659,74083436532
2025-09-06 00:02:04 UTC+0000,6954569,12069934,13502003,11566597,7956468,3469045,830751,133097,17182,1976,82,4,40.67,509.66,5065,42825,268850,1068866,2061446,4307284,4967014,4348195,2184295,659581,4503679,56433013,560823085,4741887802,29768952116,118352399406,228257815002,476932803021,549982725721,481462741626,241860578991,73033442223
2025-09-06 12:02:03 UTC+0000,6952931,12076072,13503609,11566319,7955557,3469072,830812,133041,17189,1976,82,4,40.66,510.01,5066,42822,268808,1068872,2061692,4305400,4967308,4349211,2184876,659581,4501450,56467729,560885605,4741151155,29762174460,118344323437,228268302891,476689147721,549974915618,481539927063,241907131326,73028077420
2025-09-07 00:02:04 UTC+0000,6953222,12075876,13516715,11569636,7955553,3468857,830845,133040,17187,1976,82,4,40.66,510.10,5073,42830,268741,1068891,2061828,4305813,4966776,4349692,2184636,659581,4483108,56245328,559354205,4722576524,29632040425,117858423529,227342027078,474769058584,547648457957,479607319341,240883125482,72726947972
2025-09-07 12:02:03 UTC+0000,6954600,12078598,13521195,11569095,7956026,3469039,830902,133026,17185,1977,82,4,40.67,510.24,5074,42829,268750,1068941,2061724,4305768,4966117,4351579,2183751,659581,4524364,56763568,564479770,4764573532,29897868014,118917222957,229362094593,479006792005,552469093278,484103156892,242937242714,73376858927
2025-09-08 00:02:04 UTC+0000,6955708,12080778,13537417,11576818,7956746,3469176,830892,133021,17188,1978,82,4,40.68,510.36,5082,42853,268764,1068979,2061764,4304977,4965777,4353299,2183286,659581,4532344,56868073,566262111,4775002604,29947807883,119114055779,229738018912,479694618358,553326150012,485079006092,243279030986,73495724542
2025-09-08 12:02:03 UTC+0000,6956644,12081591,13539343,11574851,7956535,3469559,830934,133121,17179,1975,82,4,40.68,510.39,5082,42848,268747,1069056,2061476,4306734,4966060,4351590,2183420,659581,4548929,57069460,568203051,4791062399,30050205370,119537582596,230506054236,481561932233,555285158795,486577640335,244141410047,73751730605
